system,char_system,event_id,computed_tl_m3_per_km,implied_inflow_vol_m3,fraction_lost,fraction_lost_min,fraction_lost_max,reach_km,note,contributing_area_km2,d10_mm,k_cm_per_sec_x1e-4
Walnut Gulch AZ,,W1,9471.1,70602.64087914012,,0.18780515622210375,0.9121964730787898,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W2,3488.6,185431.39113925718,,0.026338798247660954,0.12793130577435322,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W3,686.1,6200.244028012798,,0.15491970891149856,0.752467157570136,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W4,12135.4,91704.91410558033,,0.18526335437640595,0.8998505783996862,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W5,631.9,4339.968884015545,,0.2038401711261742,0.9900808311842747,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W6,3280.8,49504.59903305847,,0.0927816827065457,0.45065388743179347,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W7,1086.1,11533.548536059516,,0.1318362683649397,0.6403475892011358,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W8,2838.7,92821.23948995011,,0.04281541618963502,0.2079605929210844,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W9,5894.3,80409.93731456794,,0.10262438046329597,0.49846127653600897,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W10,15312.1,159359.79786139692,,0.13451912143265118,0.6533785898157344,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W11,976.7,34984.54775139724,,0.03908525585972134,0.18984267131864654,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W12,1814.8,33620.10326307876,,0.07557145140568891,0.36706133539906044,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W13,4037.4,15875.509594678235,,0.3560427440952683,1.7293504713198748,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W14,362.7,2602.8942206062284,,0.19508284123883268,0.9475452288743301,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W15,418.7,7688.580962240389,,0.07624033653008343,0.37031020600326237,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W16,3002.2,54220.72117474722,,0.07751796562155548,0.3765158330189837,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W17,1400.2,13146.524196792167,,0.149110135170049,0.7242492279688095,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W18,229.9,2230.8926808695383,,0.14427408488092228,0.7007598408501938,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W19,1050.6,9300.420959275014,,0.1581476802437827,0.7681458754698017,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W20,744.9,33992.328928376184,,0.030679274791596853,0.14901362041632757,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W21,2243.4,20342.275287178338,,0.15439570823130142,0.7499220114091784,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W22,2596.7,17116.865868885667,,0.21238584375474037,1.031588383951596,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W23,2720.0,5827.295822525509,,0.6534763492321966,3.1740279819849553,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W24,2628.3,22948.425567502596,,0.160343026112028,0.7788089839727076,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W25,6198.8,247759.24142256522,,0.03502723026665516,0.17013226129518222,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W26,11253.5,198592.3974236475,,0.0793328455892037,0.38533096429041797,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W27,1014.9,14386.758510872256,,0.09876164939629993,0.4796994399248854,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W28,1238.5,8928.751914432252,,0.19419287450437045,0.9432225333069423,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W29,2016.3,59060.10538680027,,0.047795715593675354,0.23215061859785177,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Walnut Gulch AZ,,W30,4260.1,40461.053860586115,,0.1474044650579352,0.7159645445671138,,"AMBIGUOUS: reach not identifiable per storm, excluded from regression",,,
Queen Creek AZ,Queen Creek AZ,Q1,2195.9,85373.64553739499,0.8282178833399918,0.8282178833399918,0.8282178833399918,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q2,793.3,31758.795929268723,0.8043207953126006,0.8043207953126006,0.8043207953126006,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q3,513.6,72464.64429470975,0.22822053652455926,0.22822053652455926,0.22822053652455926,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q4,3307.2,188658.20571193096,0.5644696958615532,0.5644696958615532,0.5644696958615532,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q5,3640.6,302888.90080283897,0.387030755135882,0.387030755135882,0.387030755135882,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q6,23759.9,2335077.8049689992,0.32764166503229525,0.32764166503229525,0.32764166503229525,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q7,6323.2,383601.6883846724,0.5307772258703529,0.5307772258703529,0.5307772258703529,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q8,10730.3,1664206.915066891,0.20761580598654852,0.20761580598654852,0.20761580598654852,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q9,32574.0,3329066.237190941,0.31506816784908587,0.31506816784908587,0.31506816784908587,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q10,50585.5,3353914.312857357,0.4856573388758712,0.4856573388758712,0.4856573388758712,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q11,16210.4,706493.3711268557,0.7388248797967503,0.7388248797967503,0.7388248797967503,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q12,36367.9,1577243.7545060427,0.7424637927108138,0.7424637927108138,0.7424637927108138,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q13,48746.0,2359929.5910030976,0.6651135720251833,0.6651135720251833,0.6651135720251833,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q14,27975.3,3838518.2348972885,0.2346751024419984,0.2346751024419984,0.2346751024419984,32.2,,866.0,,
Queen Creek AZ,Queen Creek AZ,Q15,24832.9,1838130.482543594,0.43501774634273604,0.43501774634273604,0.43501774634273604,32.2,,866.0,,
Prairie Dog Creek KS,Prairie Dog Creek KS,Prairie Dog Creek KS-1,31866.5,3824846.1944085564,0.3482544479689785,0.3482544479689785,0.3482544479689785,41.8,,2538.0,0.055,36.0
Prairie Dog Creek KS,Prairie Dog Creek KS,Prairie Dog Creek KS-2,10789.2,4294555.314513885,0.10501402985213357,0.10501402985213357,0.10501402985213357,41.8,,2538.0,0.055,36.0
Prairie Dog Creek KS,Prairie Dog Creek KS,Prairie Dog Creek KS-3,14328.7,938759.6415488016,0.6380117268482552,0.6380117268482552,0.6380117268482552,41.8,,2538.0,0.055,36.0
Prairie Dog Creek KS,Prairie Dog Creek KS,Prairie Dog Creek KS-4,9698.5,689106.7807886915,0.588293877381409,0.588293877381409,0.588293877381409,41.8,,2538.0,0.055,36.0
Prairie Dog Creek KS,Prairie Dog Creek KS,Prairie Dog Creek KS-5,14297.2,1989697.2795305285,0.3003587360490385,0.3003587360490385,0.3003587360490385,41.8,,2538.0,0.055,36.0
Republic Creek KS,Republica Creek KS,Republic Creek KS-1,43574.8,8123481.720307064,0.29341379005526996,0.29341379005526996,0.29341379005526996,54.7,,63564.0,0.033,23.0
Republic Creek KS,Republica Creek KS,Republic Creek KS-2,111315.2,33875614.0108656,0.17974409078008072,0.17974409078008072,0.17974409078008072,54.7,,63564.0,0.033,23.0
Saline River KS,Salina River KS,Saline River KS-1,6217.9,1814526.2060495312,0.16619663523987047,0.16619663523987047,0.16619663523987047,48.5,,17534.0,0.165,520.0
Saline River KS,Salina River KS,Saline River KS-2,4145.3,496607.6650696711,0.40484081125045523,0.40484081125045523,0.40484081125045523,48.5,,17534.0,0.165,520.0
Saline River KS,Salina River KS,Saline River KS-3,68980.3,15931916.512511447,0.209990087970441,0.209990087970441,0.209990087970441,48.5,,17534.0,0.165,520.0
Smokey Hill River KS,Smokey Hill River KS,Smokey Hill River KS-1,9132.1,2045604.132455279,0.33839058545954187,0.33839058545954187,0.33839058545954187,75.8,,13520.0,0.202,630.0
Smokey Hill River KS,Smokey Hill River KS,Smokey Hill River KS-2,16209.5,2381046.406399057,0.5160252638075112,0.5160252638075112,0.5160252638075112,75.8,,13520.0,0.202,630.0
Smokey Hill River KS,Smokey Hill River KS,Smokey Hill River KS-3,8349.4,737543.9375655396,0.8580973793764802,0.8580973793764802,0.8580973793764802,75.8,,13520.0,0.202,630.0
Smokey Hill River KS,Smokey Hill River KS,Smokey Hill River KS-4,3457.2,882864.597025427,0.296824406463829,0.296824406463829,0.296824406463829,75.8,,13520.0,0.202,630.0
Sappa Creek NE,Sappa KS,Sappa Creek NE-1,124449.1,29954128.73058502,0.2339071315683419,0.2339071315683419,0.2339071315683419,56.3,,2720.0,0.119,360.0
Sappa Creek NE,Sappa KS,Sappa Creek NE-2,21022.6,2217049.44566026,0.5338502406054908,0.5338502406054908,0.5338502406054908,56.3,,2720.0,0.119,360.0
Sappa Creek NE,Sappa KS,Sappa Creek NE-3,10774.1,1214514.0056638373,0.49944407983047534,0.49944407983047534,0.49944407983047534,56.3,,2720.0,0.119,360.0
Sappa Creek NE,Sappa KS,Sappa Creek NE-4,44782.4,3407342.51314607,0.7399458992668391,0.7399458992668391,0.7399458992668391,56.3,,2720.0,0.119,360.0
Sappa Creek NE,Sappa KS,Sappa Creek NE-5,84506.3,6604753.423019574,0.7203455428658323,0.7203455428658323,0.7203455428658323,56.3,,2720.0,0.119,360.0
Sappa Creek NE,Sappa KS,Sappa Creek NE-6,21591.9,2747570.795694612,0.4424359044377885,0.4424359044377885,0.4424359044377885,56.3,,2720.0,0.119,360.0
Little Missouri River ND,Little Missouri ND,Little Missouri River ND-1,22155.4,11718008.136175873,0.22820915883684487,0.22820915883684487,0.22820915883684487,120.7,,16032.0,0.135,400.0
Little Missouri River ND,Little Missouri ND,Little Missouri River ND-2,29758.6,17787878.75395251,0.20192756369007064,0.20192756369007064,0.20192756369007064,120.7,,16032.0,0.135,400.0
Moreau River ND,Moreau River SD,Moreau River ND-1,17752.3,13230748.00203423,0.1467869858681763,0.1467869858681763,0.1467869858681763,109.4,,11189.0,0.07,38.0
Moreau River ND,Moreau River SD,Moreau River ND-2,70922.2,11273025.246711213,0.688270318765016,0.688270318765016,0.688270318765016,109.4,,11189.0,0.07,38.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-1,22988.5,9111563.527040262,0.6375627994866233,0.6375627994866233,0.6375627994866233,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-2,5760.6,4878602.180143278,0.29838539119359964,0.29838539119359964,0.29838539119359964,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-3,14479.5,7371564.918486787,0.4963626706757813,0.4963626706757813,0.4963626706757813,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-4,31644.0,11322899.956157574,0.7062182683731484,0.7062182683731484,0.7062182683731484,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-5,10266.5,5675176.285268836,0.4571390243390659,0.4571390243390659,0.4571390243390659,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-6,12675.9,3259481.7818679805,0.9827328834353153,0.9827328834353153,0.9827328834353153,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-7,4981.9,3412313.7556138868,0.3689362175236183,0.3689362175236183,0.3689362175236183,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-8,16132.2,3685678.969625174,1.106066744715583,1.106066744715583,1.106066744715583,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-9,10482.3,10482504.602319412,0.25269506768581773,0.25269506768581773,0.25269506768581773,252.7,,5335.0,0.089,75.0
Cimarron River OK,Cimarron R OK,Cimarron River OK-10,4260.5,1122590.543213557,0.9590570279685552,0.9590570279685552,0.9590570279685552,252.7,,5335.0,0.089,75.0
Washita River OK,Washita River OK,Washita River OK-1,7051.3,1973546.8109880392,0.3162023046656693,0.3162023046656693,0.3162023046656693,88.5,,5120.0,0.039,108.0
